Ch,E,T_zero,T_zc,a0,a1,a2,a3,dTime,chi2
0,2912,29.9399,218.1,0.00820135,-0.00208783,9.15853e-05,-3.09116e-07,-27.6687,4.74645e-05
0,1465,40.7621,186.959,-0.00106174,-0.00244622,0.000142701,-5.58185e-07,-40.2563,0.00012938
0,4539,53.2945,176.904,0.00632439,-0.00129554,1.08622e-05,2.43829e-06,-50.0351,3.00737e-05
0,4528,61.4816,185.291,-0.00376847,0.00366737,-0.000419093,1.27071e-05,-58.1336,3.20518e-05
0,4444,51.7627,177.917,0.000710855,0.000536319,-0.000219833,9.6675e-06,-50.4753,1.52864e-05
0,2199,43.8851,176.546,0.0116169,-5.66017e-05,-5.85902e-05,3.21332e-06,-41.3472,5.53519e-05
0,4532,47.6216,170.427,-0.00374072,-0.000301019,-9.88415e-05,6.58789e-06,-46.1326,1.71757e-05
0,4203,50.9513,175.686,0.00403632,-0.000168193,-0.000130175,6.65354e-06,-47.0669,2.07264e-05
0,2702,47.7018,196.34,-0.00576714,-0.00166671,9.62218e-05,-1.58135e-07,-46.2748,3.15065e-05
0,1555,56.7449,179.436,0.00799587,0.00120946,-0.000210644,7.36111e-06,-56.2029,0.000231776
0,4529,50.6335,169.789,0.000948915,-0.000825341,-4.18181e-05,4.26841e-06,-47.1592,2.3832e-05
0,924,14.2787,257.508,0.061442,-0.00377085,7.77644e-05,-6.55433e-08,-12.9156,0.000372027
0,4542,49.1913,179.635,-0.00425317,0.00287712,-0.000419243,1.49916e-05,-46.643,1.94747e-05
0,876,65.0894,146.997,0.00714096,0.00293563,-0.000237297,7.75184e-06,-61.4205,0.00043787
0,4498,55.9127,176.557,0.00468608,-0.000754505,-8.7049e-05,5.48502e-06,-52.0671,3.63325e-05
0,2348,69.5398,170.966,0.00686989,-0.000371988,-7.00998e-05,4.38661e-06,-68.0519,7.85157e-05
0,4527,52.7089,176.578,-0.0046931,0.00213293,-0.000233637,7.8581e-06,-49.3979,1.96108e-05
0,3769,49.8009,179.752,-0.0049344,0.00227748,-0.000356303,1.30954e-05,-48.3849,2.13114e-05
0,2602,34.7927,176.1,0.0128608,-0.00380529,0.000162523,1.34761e-07,-33.7268,6.91708e-05
0,1392,32.0694,197.771,-0.0163629,0.00112022,1.11705e-05,4.09434e-07,-31.184,0.000107791
0,1884,40.815,171.518,0.00847126,-0.00283495,4.42949e-05,3.24238e-06,-37.5745,0.000113108
0,1707,42.2333,192.262,0.00706471,-0.00302733,0.00015413,-9.63913e-07,-40.5331,0.000113771
0,771,50.45,179.063,-0.0241584,0.00091781,-0.000147721,6.883e-06,-48.2341,0.000438072
0,823,29.317,186.392,-0.00913204,-0.00362627,0.000202122,-1.31538e-06,-28.4439,0.000338928
0,2204,57.056,198.846,0.0039981,-0.00348378,0.000159079,-7.29467e-07,-54.9703,8.4574e-05
0,2751,72.0596,219.326,0.00244361,-0.000847315,1.13506e-05,9.63953e-07,-71.0821,6.42525e-05
0,4517,44.6504,177.573,0.00921965,-0.00171122,4.16478e-05,1.75953e-06,-42.3114,4.47549e-05
0,3457,48.1793,176.715,-0.00802706,0.00151076,-0.000214547,8.31073e-06,-45.2332,4.31303e-05
0,2509,73.0376,187.594,-0.0209238,0.00380562,-0.000506683,1.66578e-05,-69.3862,4.72028e-05
0,1880,48.0265,185.544,-0.00256458,-0.00143119,8.39389e-05,3.58809e-07,-45.4239,8.63156e-05
0,1001,30.4087,166.463,0.0244608,-0.00640949,0.00031548,-2.08581e-06,-28.8318,0.00033899
0,2812,39.9099,234.47,0.00707657,-0.00177303,7.43554e-05,-2.32494e-07,-37.5703,3.90505e-05
0,4525,46.1267,174.489,0.00178818,0.00192637,-0.000242778,8.51284e-06,-43.8212,1.1349e-05
0,3160,55.8292,248.132,0.00271229,-0.000794012,3.80501e-05,1.21669e-08,-52.0193,3.81593e-05
0,2122,37.2244,170.712,0.000252933,0.000208027,-0.000123723,6.42415e-06,-35.7775,9.8646e-05
0,4515,46.0532,177.885,-0.00678949,0.00235265,-0.000316397,1.14841e-05,-45.4491,1.8312e-05
0,2740,49.8009,183.806,0.000785085,-0.00136013,6.29945e-05,9.20223e-07,-46.0238,6.47601e-05
0,4532,57.9202,201.186,0.0051721,-0.00204492,9.07154e-05,-5.05528e-09,-56.1804,1.37623e-05
0,1674,84.3671,246.866,-0.00198515,-0.000216891,7.27331e-06,4.98177e-07,-81.5564,0.00011357
0,666,10.6044,163.03,0.0348527,-0.00658987,0.000339644,-3.10647e-06,-9.70492,0.000718629
0,4547,46.1897,176.333,-0.00260771,0.00176144,-0.000286704,1.11229e-05,-45.7664,1.84972e-05
0,4513,49.0164,174.151,-0.00350846,0.00191967,-0.0002734,1.05547e-05,-47.9201,1.63153e-05
0,2127,-72.2917,281.408,-0.0147534,0.000321833,4.79773e-06,2.35002e-07,74.0192,7.22027e-05
0,3206,68.6524,204.195,0.000501571,-0.000566665,1.24838e-05,1.10142e-06,-65.6143,4.21916e-05
0,905,32.2791,192.844,-0.0284644,0.00128627,-8.13242e-06,1.0753e-06,-28.3634,0.000315211
0,4511,47.1002,181.636,-0.00142774,0.0033427,-0.000536642,1.90325e-05,-46.3461,1.86718e-05
0,2475,35.1107,176.425,-0.00952886,-0.00545189,0.000310083,-2.42885e-06,-34.323,8.16851e-05
0,3039,66.5035,190.845,-0.0124981,0.00474791,-0.000612642,1.86655e-05,-62.5792,8.54662e-05
0,4481,54.4809,173.478,0.00734117,-0.000133678,-0.000135705,6.90536e-06,-51.7268,2.3935e-05
0,1055,-43.7305,115.074,0.0185483,0.00203972,4.48632e-05,1.29748e-06,44.6692,0.000251093
0,1065,35.9872,233.238,-0.00598417,0.000297524,1.95923e-05,8.66794e-08,-33.7752,0.000344097
0,4512,20.2091,254.836,0.00576817,-0.000961866,4.60678e-05,-1.2273e-07,-18.2008,2.05841e-05
0,3079,47.194,175.54,0.00430198,0.000753733,-0.000171601,6.92763e-06,-44.5763,4.15195e-05
