Ch,E,dT,T_0.1,T_0.2,T_0.3,T_0.4,T_0.5,T_0.6,T_0.7,T_0.8,I_0.1,I_0.2,I_0.3,I_0.4,I_0.5,I_0.6,I_0.7,I_0.8,
0,3409,-20.2134,24.26,31.5218,38.0332,44.416,51.9942,61.3467,71.9793,83.0476,0.407015,1.35091,3.01173,5.04702,8.12332,13.4935,19.9138,28.8153,
0,2316,1.68435,22.1906,28.3124,33.3463,37.323,40.7941,44.4104,48.6586,54.3021,0.117304,0.910296,2.04293,3.33119,4.5651,6.65202,9.20848,13.6328,
0,2350,-20.2608,42.5652,59.294,71.9039,81.9339,89.5066,96.5238,102.769,110.099,0.881132,3.20728,6.08258,9.39968,12.8463,16.5843,20.3681,26.2986,
0,4540,-18.583,29.4617,38.7433,46.6697,54.1135,61.0634,67.7599,73.8677,80.5987,0.63057,1.84331,3.71782,6.40654,9.49309,12.7075,16.4668,21.6252,
0,2317,-25.3626,37.5157,52.1097,64.8903,76.6336,84.306,91.6612,97.7497,104.637,0.922665,3.03973,5.89355,10.0038,13.4713,17.2064,20.9627,26.1393,
0,2608,-32.6069,31.572,40.3059,46.3925,52.163,59.9493,69.3573,80.722,91.616,0.684529,1.88916,3.27646,5.31794,8.4285,13.8004,20.8696,28.9994,
0,1292,-47.3472,39.4425,48.2263,56.5714,65.1143,71.5535,76.5241,81.2651,88.0931,0.933022,2.10256,4.09262,7.07634,9.6768,12.3217,15.4601,20.7534,
0,965,-5.36034,46.2504,65.0257,80.2463,89.21,95.0182,100.165,104.935,110.391,1.37259,3.94038,7.56714,10.6038,13.1955,15.8754,18.3696,22.7684,
0,4528,-19.9,25.9745,33.2926,39.195,44.3672,49.5174,55.1678,62.348,72.0632,0.409562,1.45786,2.84891,4.52022,6.6839,9.91448,14.4344,21.9071,
0,4545,-24.8371,35.304,48.5977,60.1232,70.1526,78.0326,84.5601,90.5471,97.5338,0.846084,2.69179,5.56491,8.96851,12.4951,15.7015,19.4877,24.6801,
0,2068,-14.9402,22.9808,28.9478,33.7941,38.3526,42.6735,47.7682,54.4389,62.5605,0.438277,1.15747,2.24213,3.85239,5.57862,8.22615,12.7081,18.6278,
0,4525,-20.3868,33.5787,46.0932,55.4803,63.6361,69.9218,74.8504,79.8318,86.4441,0.752737,2.60588,4.73866,7.41643,9.96467,12.5518,15.6743,20.8606,
0,4553,-21.644,49.487,67.4758,80.0396,88.4225,95.2425,100.788,106.053,113.013,1.2708,3.78247,6.87186,9.59327,12.6195,15.2579,19.059,24.322,
0,3060,-20.2843,29.1318,37.9463,45.9822,52.8315,58.8971,64.4045,70.0541,77.2632,0.639954,1.73473,3.56187,5.84983,8.40038,11.5719,15.4022,20.6449,
0,1911,-8.45742,22.0566,28.4561,33.9425,38.4486,42.3947,46.3605,50.9299,56.6685,0.0382429,0.848173,1.98391,3.57843,5.26635,7.40061,9.91854,14.3218,
0,2912,2.19466,42.5051,61.3251,73.7047,83.2542,90.4819,97.0196,102.937,110.05,1.0539,3.77364,6.66584,10.0159,13.0714,16.8251,19.9854,25.9236,
0,1465,-24.9979,37.2345,50.5234,62.0763,72.9629,80.7456,87.9525,94.6775,100.989,0.768053,2.59314,5.44696,8.81235,12.2381,15.9751,20.3532,24.7308,
0,4539,-21.4076,28.6104,38.2769,46.2264,52.5304,57.8157,62.748,67.9835,74.8907,0.51709,1.88508,3.78981,5.7722,7.89472,10.5139,13.6353,18.8015,
0,4528,-33.4362,24.5364,30.8808,37.3619,44.8256,53.7561,64.1219,76.9035,93.3103,0.351549,1.13434,2.7597,5.14006,9.07068,15.051,22.786,35.4704,
0,4444,-19.9544,22.9045,29.1697,34.7237,39.9175,45.0206,50.948,59.6246,75.7612,0.209201,1.11893,2.27483,3.88623,6.47752,9.17351,14.942,26.941,
0,2199,-23.8331,32.3257,41.858,50.951,59.5292,67.7298,74.823,82.2194,90.2658,0.817998,2.0295,4.14492,7.15403,10.653,14.3498,19.4768,25.3711,
0,4532,-15.6204,23.4222,30.1088,35.5195,40.7083,46.3653,53.2875,62.4479,74.7762,0.280451,1.21229,2.36817,4.01843,6.62516,10.4197,16.2249,25.1538,
0,4203,-18.8758,24.8493,31.8436,37.7564,43.4568,49.5435,56.3666,64.7558,75.496,0.320134,1.20118,2.55452,4.54241,7.15516,10.9226,16.0618,24.2365,
0,2702,-15.5227,36.8501,51.0417,61.6389,71.2263,78.8588,85.5855,91.94,98.9853,0.756638,2.85604,5.26018,8.64119,11.674,15.3991,19.1546,24.2941,
0,1555,-24.6298,25.4321,33.2831,39.5525,44.1316,49.2258,56.0347,66.5068,76.7958,0.465791,1.53804,2.9051,4.54519,6.76861,10.5984,17.0233,24.43,
0,4529,-18.6475,26.0564,34.3351,41.5466,48.5719,55.6548,63.2988,70.93,78.6478,0.404688,1.51768,3.15382,5.51181,8.54567,12.866,17.2943,23.1855,
0,4542,-21.1598,21.8693,27.283,31.5562,35.5946,39.4756,43.7686,49.0162,56.6888,0.21356,0.943017,1.85142,3.12477,4.82793,6.93064,10.7737,16.0109,
0,4498,-23.7817,25.7648,34.1615,44.1677,55.5343,68.2124,80.016,90.6116,99.938,0.270018,1.53582,3.98045,7.76941,13.5348,20.0596,26.4666,33.0852,
0,2348,-41.6697,27.5509,36.8239,46.4556,56.0314,67.0314,79.5988,95.0064,109.5,0.473955,1.71677,4.09163,7.51892,12.4488,19.0011,29.3199,39.7518,
0,4527,-24.7008,25.9492,33.3172,40.26,47.4983,56.5743,67.205,80.3426,94.9483,0.411545,1.46839,3.13197,5.51113,9.50177,15.4552,23.8737,34.2343,
0,3769,-21.9708,22.7707,28.3499,33.4038,38.9089,45.4759,52.5059,61.7467,73.6515,0.208114,0.96603,2.12353,3.80051,6.83275,10.5991,16.3797,25.3088,
0,2602,-6.91717,29.3137,40.1319,48.3885,55.494,61.461,66.8259,71.9528,78.3761,0.527895,2.09901,4.00002,6.30981,8.89911,11.5256,14.6442,19.822,
0,1392,-48.1232,49.7163,66.8138,77.7003,85.8232,93.771,99.7038,105.262,112.402,1.07089,3.40402,6.02551,8.62954,12.1147,15.2517,19.0799,24.2454,
0,1884,-8.81145,26.0272,35.2565,44.5804,54.6782,65.283,75.3759,92.9799,110.144,0.264611,1.56995,3.74264,7.16972,11.9612,17.4209,28.3751,41.8525,
0,1707,-18.1859,40.9629,55.7231,69.9984,80.5177,88.1029,93.6916,98.2681,104.372,1.01064,3.03261,6.4236,10.0524,13.5729,16.1782,19.326,23.8067,
0,771,-14.3395,23.5854,30.9106,37.8044,42.4466,46.404,51.0437,59.5708,67.1613,-0.0162795,0.975013,2.57354,4.08257,5.80352,8.50381,13.7771,19.5906,
0,823,6.65352,33.1794,46.2842,57.8511,67.8371,75.3452,82.4631,88.708,95.3882,0.517977,2.26061,4.92696,8.32594,11.7742,15.4807,19.2413,24.3872,
0,2204,-17.0146,34.3274,48.4382,58.6768,66.8337,72.5753,77.3061,81.8992,87.2481,0.703593,2.62411,4.99907,7.63844,10.1793,12.8114,15.3055,19.7371,
0,2751,-16.0771,34.0703,47.4506,59.6094,69.9089,78.4255,86.0373,92.7969,99.6739,0.809968,2.6859,5.5393,8.91013,12.8134,17.1159,20.9128,26.0481,
0,4517,-12.7378,28.9547,39.5016,47.5557,54.2414,60.3489,67.2186,76.2581,88.799,0.539464,2.01864,3.89955,6.23827,8.86069,12.6586,18.4744,27.4418,
0,3457,-16.1625,23.9909,30.6583,35.9605,40.8361,46.3414,53.192,62.8492,77.14,0.263304,1.1412,2.24784,3.84949,6.46691,10.2711,16.085,27.2686,
0,2509,-41.0387,22.304,27.3552,32.3961,38.0244,45.1866,54.1499,64.114,76.9901,-0.0305562,0.629578,1.7994,3.83955,6.97325,11.8521,18.3304,27.2369,
0,1880,-20.1625,32.242,46.4717,57.06,65.982,73.2358,79.1542,84.5126,91.0856,0.671645,2.68042,5.26773,8.00834,11.4306,14.6355,17.8054,23.0484,
0,1001,-10.323,29.9929,42.7217,53.8273,67.1792,74.2481,81.3752,87.8976,93.8418,0.448205,2.30222,4.93356,9.57331,12.6324,16.4304,20.1584,24.5594,
0,2812,-7.77164,48.0283,67.8043,80.3197,90.1818,97.4138,103.483,108.795,114.968,1.30617,4.0245,7.07792,10.4945,13.5368,16.7159,19.85,24.2571,
0,4525,-22.2321,26.108,33.1496,40.1361,48.4776,58.9069,70.5837,83.0184,94.4196,0.552911,1.51565,3.20562,5.96063,10.3715,16.8892,25.2245,33.4019,
0,2122,-9.00395,25.5616,32.8617,39.2994,44.504,49.3183,54.3467,59.8708,66.8934,0.427167,1.36906,2.96468,4.61315,6.76843,9.44772,12.6173,17.7627,
0,4515,-18.1943,23.2701,29.2628,35.0976,41.3672,48.5886,56.9626,65.6919,76.4115,0.301261,1.09833,2.53381,4.57211,7.65328,11.9499,17.6549,25.8415,
0,2740,-21.7772,31.3908,43.0647,52.1554,59.7884,67.1895,75.2614,84.7231,95.2125,0.648232,2.34383,4.49975,6.85461,10.3365,14.7055,20.4885,28.6461,
0,4532,-25.9469,37.4185,51.2238,61.2705,69.0781,75.4795,81.8523,89.6774,98.153,0.87233,2.84254,5.22258,7.92442,10.5409,13.7346,18.8509,25.497,
0,1674,-40.3229,46.1703,61.2323,75.4736,86.1504,94.0304,99.66,104.656,110.748,1.29484,3.50182,6.80511,10.5625,14.0914,16.7198,19.8438,24.2788,
0,666,-14.6629,38.5318,55.7107,66.3117,77.7856,86.2472,90.9659,96.0928,102.288,1.03105,3.44031,6.16857,9.84448,13.6909,15.7783,19.5904,24.0075,
0,4547,-18.0131,22.9844,28.9821,34.1539,39.388,45.1205,51.3997,59.653,71.0567,0.265831,0.976158,2.35592,4.03825,6.66008,9.9087,15.0456,23.9896,
0,4513,-21.2334,22.9722,28.9947,34.1223,39.7511,45.8177,52.7088,62.7101,77.3102,0.320211,1.02642,2.40314,4.08723,6.66488,10.4188,16.8505,28.0722,
0,3206,-28.5821,34.264,46.799,57.3698,66.9924,74.654,81.6234,87.9786,96.2651,0.825666,2.51181,5.1571,8.15404,11.6028,15.3214,19.098,25.7782,
0,905,3.64984,33.8952,46.4648,55.4769,61.9759,67.6929,72.7195,78.0284,85.3644,0.754015,2.50929,4.65369,6.62361,9.18468,11.8117,15.642,20.8558,
0,4511,-19.0361,21.0613,25.7841,29.7956,34.0004,38.8564,44.9525,53.5193,66.3634,0.215524,0.691625,1.55494,3.2178,4.96254,8.15274,13.9295,23.6335,
0,2475,0.814436,28.6529,42.3299,51.5321,60.7122,68.0094,73.8922,79.433,85.2796,0.171359,2.1532,4.31339,7.32368,10.7933,13.4538,17.2271,21.6617,
0,3039,-30.5727,21.5242,26.563,31.4817,36.1392,40.758,45.6383,50.9323,56.8432,0.0335794,0.684653,1.81374,3.48022,5.1791,7.838,10.9737,15.3689,
0,4481,-26.4141,25.2741,32.3748,38.8808,44.9141,52.1277,61.7488,73.9193,88.2326,0.410763,1.35712,2.74437,4.70415,8.23968,13.1366,20.8154,32.0022,
0,1055,-28.2561,40.3182,53.8823,73.2349,82.1401,87.8573,92.6696,98.0938,103.811,0.934558,2.80096,7.48399,10.5446,12.6617,15.2858,19.0606,22.7622,
0,29,82.4304,12.9324,13.8442,14.4388,15.0334,15.6279,16.2225,16.8171,17.4117,-1.5,-1.625,-1.75,-1.875,-1.875,-1.75069,-1.75069,-0.811675,
0,3079,-11.0688,24.068,31.1648,36.7231,41.1999,45.2971,49.3759,54.389,60.8176,0.486362,1.42616,2.57416,4.19235,5.89627,8.05094,11.2286,15.6544,
0,4535,-18.2843,26.6271,34.5019,41.0285,46.7569,52.4302,58.5836,65.3278,73.5605,0.424868,1.48623,3.13271,4.7974,7.3805,10.5987,15.0571,21.0032,
0,2720,-34.6147,32.205,42.566,50.42,58.0683,65.5248,72.2513,78.2398,85.6045,0.671836,2.03902,3.92594,6.65013,9.71551,13.4532,17.2716,22.4938,
0,4500,-21.8687,32.5175,42.3369,50.0602,56.5557,62.1663,67.0247,71.9984,78.6773,0.695583,2.06264,3.97089,5.97471,8.57033,11.2373,13.7698,18.9376,
0,288,31.3436,22.0282,28.2848,32.5633,36.2407,40.8713,49.9075,59.6821,64.5779,0.631704,1.34232,2.34346,3.59476,5.32513,9.94428,16.4944,20.1359,
0,553,18.3787,18.8176,21.6843,24.4654,27.5858,30.7003,35.0315,39.8143,44.1875,-1.62982,-1.28703,-0.651598,0.254892,1.57343,4.21959,6.79891,10.4116,
0,437,-30.2221,30.6459,42.8078,48.9624,55.5308,61.756,68.2625,75.411,82.7184,0.700713,2.34369,3.80329,6.06007,8.68701,12.4276,16.9245,21.9449,
0,4535,-20.7875,22.2811,27.7413,32.4037,36.8652,41.4571,46.8095,53.439,61.9676,0.293679,0.920243,2.03922,3.33326,5.46404,8.13815,12.5916,18.5188,
0,1084,38.7615,24.7189,33.5128,42.3748,50.4689,57.2772,62.9044,67.6175,73.1212,-0.3958,0.828384,2.98249,5.66907,8.7499,11.3726,14.4499,18.9341,
0,4523,-24.7762,42.6569,57.8601,68.771,76.7875,84.4375,93.0494,102.725,111.564,1.04984,3.12128,5.69764,8.34447,11.8449,16.7262,22.4909,29.1251,
0,3103,-23.3533,36.8113,51.7575,64.2444,74.5429,82.6815,89.3178,95.7864,103.201,0.812257,2.88168,6.01358,9.38758,12.8365,16.5672,20.3762,26.2869,
0,524,-11.6157,25.4371,32.5213,39.9887,45.104,50.9326,56.144,60.4415,66.1714,0.274863,1.22644,2.85305,4.78528,7.03447,10.1348,12.7017,17.1767,
0,2689,-16.3463,30.0465,39.4585,47.3311,54.5286,60.9059,66.7906,72.9666,80.777,0.647288,1.8948,3.76889,6.13579,8.6964,11.863,15.6492,21.5536,
0,234,20.534,22.6671,28.8439,32.6704,36.8651,40.4395,43.678,48.711,52.9326,0.22364,1.01427,1.85683,3.05768,4.64248,6.31734,9.45058,12.2649,
0,4281,-2.14791,30.6174,42.8119,52.2267,60.1515,66.7068,72.4753,79.0765,87.7718,0.487926,2.13592,4.4987,7.21578,9.8043,12.9927,17.491,23.4327,
0,4496,-17.9628,26.5216,34.221,40.9881,46.506,51.5417,56.9616,63.3165,71.1306,0.390669,1.47885,2.86309,4.80594,6.94716,9.59245,14.054,20.0076,
0,4290,-1.77926,31.4017,44.2235,56.1364,65.8664,73.6834,80.0723,85.72,92.0339,0.504454,2.38714,5.26776,8.30345,11.7406,15.4812,18.6391,23.8343,
0,4528,-20.4225,32.2384,44.3146,54.3287,62.1862,68.9318,75.5575,82.5587,90.0888,0.757153,2.46775,4.85042,7.5524,10.1529,13.8702,18.3304,24.2593,
0,1299,-84.5324,50.7979,65.3999,77.4047,85.6716,93.4641,100.768,106.633,113.447,0.857042,3.08557,5.89678,8.57457,12.0531,15.7697,19.5481,24.7191,
0,4503,-25.8015,26.2675,35.1409,43.5264,51.2715,58.5767,66.2432,75.6662,87.6835,0.448501,1.70717,3.63404,6.31646,9.38901,13.7051,19.4835,28.4233,
0,1892,-19.6642,38.2451,54.7166,66.5941,75.1237,82.3728,88.1012,93.3623,99.81,0.887465,3.10245,5.95275,8.97954,12.0287,15.213,18.3957,22.8388,
0,3125,-11.4624,25.2903,33.0994,39.8174,46.1053,51.4482,56.5165,62.0586,69.6603,0.453298,1.53545,2.95715,5.27207,7.44067,10.0709,13.9295,19.1404,
0,2799,-29.453,32.9705,44.098,51.7723,58.2435,64.0385,69.0501,74.3884,81.3259,0.742504,2.37922,4.02061,6.3661,8.98032,11.6572,14.871,20.0806,
0,4521,-5.61673,29.9195,41.0055,50.3417,58.0022,64.105,70.7848,77.9347,85.7887,0.469186,2.11813,4.29643,6.97902,9.61299,12.8562,17.2649,23.1552,
0,2792,-9.54952,28.4937,38.5471,47.1488,53.7645,59.434,64.4948,70.0676,77.6283,0.418269,1.80108,3.93117,5.91885,8.47281,11.1157,14.9705,20.1845,
0,4520,-21.54,22.3137,27.7801,32.6241,37.3694,42.4348,47.9364,54.1482,61.8496,0.257305,0.879292,1.99538,3.64695,5.81962,8.47643,12.926,18.1189,
0,4465,-20.5587,20.4041,24.9044,28.7342,32.3323,35.8916,39.7077,44.3811,51.3605,0.112497,0.574178,1.41766,2.70216,3.95439,6.02585,9.21818,14.4353,
0,4518,-35.3916,26.005,32.9204,39.3633,46.7008,54.861,64.5702,76.5671,92.3751,0.531853,1.33883,2.96539,5.32355,8.81359,14.2144,21.9399,33.9001,
0,1209,0.635357,25.2686,32.1442,39.5143,46.1215,51.4633,56.4216,62.8855,70.335,0.355545,1.29387,2.99177,5.35048,7.48042,10.1867,13.9645,19.8959,
0,4532,-27.6479,25.73,33.3607,41.0192,49.1667,57.0791,65.4239,76.3925,90.9856,0.360504,1.46278,3.38957,6.14531,9.66969,14.0347,21.1231,31.5636,
0,2859,-14.2672,37.7286,54.9689,69.5212,79.3595,88.1006,96.8908,105.897,114.021,0.851654,3.26165,6.84093,10.2001,14.1642,18.4916,24.1831,30.8359,
0,1930,4.97633,34.5087,52.7221,64.4423,72.7056,81.8759,90.3641,96.4866,103.786,0.66186,3.13334,5.96328,8.65751,12.5734,17.3749,21.1385,26.3423,
0,2248,-27.9765,44.0119,61.6712,72.7842,81.4795,88.448,94.1723,99.4778,106.593,1.24702,3.62542,6.23901,9.22554,12.2452,15.4419,18.6231,23.8425,
0,2338,-24.6771,30.8349,41.5022,49.9569,56.8518,62.9364,68.6478,75.8611,85.828,0.602502,2.0999,3.95194,6.23842,8.77964,11.9688,16.4206,23.8467,
0,2537,-10.2128,41.8627,60.1268,70.879,80.1865,87.4977,93.0725,98.5814,105.073,1.02271,3.63764,6.02686,9.4019,12.4273,15.6111,18.8013,23.9841,
0,3882,-31.3834,23.0548,29.1299,34.8585,40.4278,46.3122,52.733,60.371,72.9376,0.251135,1.09008,2.24166,4.22093,6.84428,10.0626,15.175,24.145,
0,2745,-37.1899,26.46,34.4784,42.895,52.0038,62.8639,75.2989,88.2894,104.22,0.426146,1.55379,3.45607,6.88342,11.3127,18.374,26.7372,38.7045,
